diff	diff_fill	dir	dir_reverse	bin	bin_reverse	dec	dec_reverse
	1131	0	1	01000	00010	8	34
	1131	1	0	00000	00000	32	0
	1131	0	1	10000	00001	16	33
1132	1132	0	1	00110	01100	6	44
	1132	1	0	00011	11000	35	24
	1132	0	1	00110	01100	6	44
	1132	1	0	00000	00000	32	0
	1132	0	1	01000	00010	8	34
	1132	1	0	00000	00000	32	0
	1132	0	1	10000	00001	16	33
1133	1133	0	1	00011	11000	3	56
	1133	1	0	00001	10000	33	16
	1133	0	1	00111	11100	7	60
	1133	1	0	00010	01000	34	8
	1133	0	1	00110	01100	6	44
	1133	1	0	00000	00000	32	0
	1133	0	1	01000	00010	8	34
	1133	1	0	00000	00000	32	0
	1133	0	1	10000	00001	16	33
1200	1200	0	1	11111	11111	31	63
	1200	1	0	01100	00110	44	6
	1200	0	1	11000	00011	24	35
	1200	1	0	01100	00110	44	6
	1200	0	1	11000	00011	24	35
	1200	1	0	01111	11110	47	30
1201	1201	0	1	11110	01111	30	47
	1201	1	0	01100	00110	44	6
	1201	0	1	11000	00011	24	35
	1201	1	0	01100	00110	44	6
	1201	0	1	11000	00011	24	35
	1201	1	0	01111	11110	47	30
1202	1202	0	1	01110	01110	14	46
	1202	1	0	00111	11100	39	28
	1202	0	1	01110	01110	14	46
	1202	1	0	00100	00100	36	4
	1202	0	1	01100	00110	12	38
	1202	1	0	00000	00000	32	0
	1202	0	1	10000	00001	16	33
1203	1203	0	1	01110	01110	14	46
	1203	1	0	00111	11100	39	28
	1203	0	1	01110	01110	14	46
	1203	1	0	00111	11100	39	28
	1203	0	1	01110	01110	14	46
	1203	1	0	00000	00000	32	0
	1203	0	1	10000	00001	16	33
1210	1210	0	1	01111	11110	15	62
	1210	1	0	00110	01100	38	12
	1210	0	1	01100	00110	12	38
	1210	1	0	00100	00100	36	4
	1210	0	1	01100	00110	12	38
	1210	1	0	00000	00000	32	0
	1210	0	1	10000	00001	16	33
1211	1211	0	1	01110	01110	14	46
	1211	1	0	00110	01100	38	12
	1211	0	1	01100	00110	12	38
	1211	1	0	00100	00100	36	4
	1211	0	1	01100	00110	12	38
	1211	1	0	00000	00000	32	0
	1211	0	1	10000	00001	16	33
1212	1212	0	1	01110	01110	14	46
	1212	1	0	00111	11100	39	28
	1212	0	1	01110	01110	14	46
	1212	1	0	00110	01100	38	12
	1212	0	1	01100	00110	12	38
	1212	1	0	00000	00000	32	0
	1212	0	1	10000	00001	16	33
1213	1213	0 	1	00011	11000	3	56
	1213	1	0	00001	10000	33	16
	1213	0	1	01111	11110	15	62
	1213	1	0	00110	01100	38	12
	1213	0	1	01100	00110	12	38
	1213	1	0	00100	00100	36	4
	1213	0	1	01100	00110	12	38
	1213	1	0	00000	00000	32	0
	1213	0	1	10000	00001	16	33
1220	1220	0	1	01111	11110	15	62
	1220	1	0	00110	01100	38	12
	1220	0	1	01100	00110	12	38
	1220	1	0	00110	01100	38	12
	1220	0	1	01100	00110	12	38
	1220	1	0	00000	00000	32	0
	1220	0	1	10000	00001	16	33
1221	1221	0	1	01110	01110	14	46
	1221	1	0	00110	01100	38	12
	1221	0	1	01100	00110	12	38
	1221	1	0	00110	01100	38	12
	1221	0	1	01100	00110	12	38
	1221	1	0	00000	00000	32	0
	1221	0	1	10000	00001	16	33
1222	1222	0	1	01110	01110	14	46
	1222	1	0	00111	11100	39	28
	1222	0	1	01110	01110	14	46
	1222	1	0	00110	01100	38	12
	1222	0	1	00100	00100	4	36
	1222	1	0	00110	01100	38	12
	1222	0	1	01100	00110	12	38
	1222	1	0	00000	00000	32	0
	1222	0	1	10000	00001	16	33
1223	1223	0	1	00011	11000	3	56
	1223	1	0	00001	10000	33	16
